compiler	arch	opt	file	status	divisions	log
gcc	x86_64	O0	src/c/avx2/ama_chacha20poly1305_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_chacha20poly1305_avx2.c.s.log
gcc	x86_64	O0	src/c/avx2/ama_dilithium_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_dilithium_avx2.c.s.log
gcc	x86_64	O0	src/c/avx2/ama_kyber_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_kyber_avx2.c.s.log
gcc	x86_64	O0	src/c/avx2/ama_sha3_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_sha3_avx2.c.s.log
gcc	x86_64	O0	src/c/avx2/ama_sphincs_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_sphincs_avx2.c.s.log
gcc	x86_64	O0	src/c/avx2/ama_x25519_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx2_ama_x25519_avx2.c.s.log
gcc	x86_64	O0	src/c/avx512/ama_sha3_x4_avx512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_avx512_ama_sha3_x4_avx512.c.s.log
gcc	x86_64	O0	src/c/x86/ama_keccak_f1600_bmi.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_x86_ama_keccak_f1600_bmi.c.s.log
gcc	x86_64	O0	src/c/x86/ama_nistp_mont_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_x86_ama_nistp_mont_mulx.c.s.log
gcc	x86_64	O0	src/c/vendor/ed25519-donna/test-internals.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_vendor_ed25519-donna_test-internals.c.s.log
gcc	x86_64	O0	src/c/vendor/ed25519-donna/test.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O0-src_c_vendor_ed25519-donna_test.c.s.log
gcc	x86_64	O1	src/c/ama_aes_bitsliced.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_aes_bitsliced.c.s.log
gcc	x86_64	O1	src/c/ama_aes_gcm.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_aes_gcm.c.s.log
gcc	x86_64	O1	src/c/ama_agent_binding.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_agent_binding.c.s.log
gcc	x86_64	O1	src/c/ama_argon2.c	ok	5	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_argon2.c.s.log
gcc	x86_64	O1	src/c/ama_ascon.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_ascon.c.s.log
gcc	x86_64	O1	src/c/ama_chacha20poly1305.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_chacha20poly1305.c.s.log
gcc	x86_64	O1	src/c/ama_consttime.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_consttime.c.s.log
gcc	x86_64	O1	src/c/ama_core.c	compile_error	n/a	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_core.c.s.log
gcc	x86_64	O1	src/c/ama_cpuid.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_cpuid.c.s.log
gcc	x86_64	O1	src/c/ama_dilithium.c	ok	15	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_dilithium.c.s.log
gcc	x86_64	O1	src/c/ama_ed25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_ed25519.c.s.log
gcc	x86_64	O1	src/c/ama_frost.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_frost.c.s.log
gcc	x86_64	O1	src/c/ama_hkdf.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_hkdf.c.s.log
gcc	x86_64	O1	src/c/ama_hmac_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_hmac_sha256.c.s.log
gcc	x86_64	O1	src/c/ama_hmac_sha384.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_hmac_sha384.c.s.log
gcc	x86_64	O1	src/c/ama_kyber.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_kyber.c.s.log
gcc	x86_64	O1	src/c/ama_lms.c	ok	11	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_lms.c.s.log
gcc	x86_64	O1	src/c/ama_nistp.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_nistp.c.s.log
gcc	x86_64	O1	src/c/ama_pbkdf2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_pbkdf2.c.s.log
gcc	x86_64	O1	src/c/ama_platform_rand.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_platform_rand.c.s.log
gcc	x86_64	O1	src/c/ama_secp256k1.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_secp256k1.c.s.log
gcc	x86_64	O1	src/c/ama_secure_memory.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_secure_memory.c.s.log
gcc	x86_64	O1	src/c/ama_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_sha256.c.s.log
gcc	x86_64	O1	src/c/ama_sha256_ni.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_sha256_ni.c.s.log
gcc	x86_64	O1	src/c/ama_sha3.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_sha3.c.s.log
gcc	x86_64	O1	src/c/ama_sha512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_sha512.c.s.log
gcc	x86_64	O1	src/c/ama_slhdsa.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_slhdsa.c.s.log
gcc	x86_64	O1	src/c/ama_x25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ama_x25519.c.s.log
gcc	x86_64	O1	src/c/dispatch/ama_dispatch.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_dispatch_ama_dispatch.c.s.log
gcc	x86_64	O1	src/c/ed25519_donna_shim.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_ed25519_donna_shim.c.s.log
gcc	x86_64	O1	src/c/internal/ama_x25519_fe64_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_internal_ama_x25519_fe64_mulx.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_aes_gcm_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_aes_gcm_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_aes_gcm_vaes_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_aes_gcm_vaes_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_argon2_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_argon2_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_chacha20poly1305_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_chacha20poly1305_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_dilithium_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_dilithium_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_kyber_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_kyber_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_sha3_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_sha3_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_sphincs_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_sphincs_avx2.c.s.log
gcc	x86_64	O1	src/c/avx2/ama_x25519_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx2_ama_x25519_avx2.c.s.log
gcc	x86_64	O1	src/c/avx512/ama_sha3_x4_avx512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_avx512_ama_sha3_x4_avx512.c.s.log
gcc	x86_64	O1	src/c/x86/ama_keccak_f1600_bmi.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_x86_ama_keccak_f1600_bmi.c.s.log
gcc	x86_64	O1	src/c/x86/ama_nistp_mont_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_x86_ama_nistp_mont_mulx.c.s.log
gcc	x86_64	O1	src/c/vendor/ed25519-donna/test-internals.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_vendor_ed25519-donna_test-internals.c.s.log
gcc	x86_64	O1	src/c/vendor/ed25519-donna/test.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O1-src_c_vendor_ed25519-donna_test.c.s.log
gcc	x86_64	O2	src/c/ama_aes_bitsliced.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_aes_bitsliced.c.s.log
gcc	x86_64	O2	src/c/ama_aes_gcm.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_aes_gcm.c.s.log
gcc	x86_64	O2	src/c/ama_agent_binding.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_agent_binding.c.s.log
gcc	x86_64	O2	src/c/ama_argon2.c	ok	6	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_argon2.c.s.log
gcc	x86_64	O2	src/c/ama_ascon.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_ascon.c.s.log
gcc	x86_64	O2	src/c/ama_chacha20poly1305.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_chacha20poly1305.c.s.log
gcc	x86_64	O2	src/c/ama_consttime.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_consttime.c.s.log
gcc	x86_64	O2	src/c/ama_core.c	compile_error	n/a	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_core.c.s.log
gcc	x86_64	O2	src/c/ama_cpuid.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_cpuid.c.s.log
gcc	x86_64	O2	src/c/ama_dilithium.c	ok	14	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_dilithium.c.s.log
gcc	x86_64	O2	src/c/ama_ed25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_ed25519.c.s.log
gcc	x86_64	O2	src/c/ama_frost.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_frost.c.s.log
gcc	x86_64	O2	src/c/ama_hkdf.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_hkdf.c.s.log
gcc	x86_64	O2	src/c/ama_hmac_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_hmac_sha256.c.s.log
gcc	x86_64	O2	src/c/ama_hmac_sha384.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_hmac_sha384.c.s.log
gcc	x86_64	O2	src/c/ama_kyber.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_kyber.c.s.log
gcc	x86_64	O2	src/c/ama_lms.c	ok	11	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_lms.c.s.log
gcc	x86_64	O2	src/c/ama_nistp.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_nistp.c.s.log
gcc	x86_64	O2	src/c/ama_pbkdf2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_pbkdf2.c.s.log
gcc	x86_64	O2	src/c/ama_platform_rand.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_platform_rand.c.s.log
gcc	x86_64	O2	src/c/ama_secp256k1.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_secp256k1.c.s.log
gcc	x86_64	O2	src/c/ama_secure_memory.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_secure_memory.c.s.log
gcc	x86_64	O2	src/c/ama_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_sha256.c.s.log
gcc	x86_64	O2	src/c/ama_sha256_ni.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_sha256_ni.c.s.log
gcc	x86_64	O2	src/c/ama_sha3.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_sha3.c.s.log
gcc	x86_64	O2	src/c/ama_sha512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_sha512.c.s.log
gcc	x86_64	O2	src/c/ama_slhdsa.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_slhdsa.c.s.log
gcc	x86_64	O2	src/c/ama_x25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ama_x25519.c.s.log
gcc	x86_64	O2	src/c/dispatch/ama_dispatch.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_dispatch_ama_dispatch.c.s.log
gcc	x86_64	O2	src/c/ed25519_donna_shim.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_ed25519_donna_shim.c.s.log
gcc	x86_64	O2	src/c/internal/ama_x25519_fe64_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_internal_ama_x25519_fe64_mulx.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_aes_gcm_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_aes_gcm_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_aes_gcm_vaes_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_aes_gcm_vaes_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_argon2_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_argon2_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_chacha20poly1305_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_chacha20poly1305_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_dilithium_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_dilithium_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_kyber_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_kyber_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_sha3_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_sha3_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_sphincs_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_sphincs_avx2.c.s.log
gcc	x86_64	O2	src/c/avx2/ama_x25519_avx2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx2_ama_x25519_avx2.c.s.log
gcc	x86_64	O2	src/c/avx512/ama_sha3_x4_avx512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_avx512_ama_sha3_x4_avx512.c.s.log
gcc	x86_64	O2	src/c/x86/ama_keccak_f1600_bmi.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_x86_ama_keccak_f1600_bmi.c.s.log
gcc	x86_64	O2	src/c/x86/ama_nistp_mont_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_x86_ama_nistp_mont_mulx.c.s.log
gcc	x86_64	O2	src/c/vendor/ed25519-donna/test-internals.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_vendor_ed25519-donna_test-internals.c.s.log
gcc	x86_64	O2	src/c/vendor/ed25519-donna/test.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O2-src_c_vendor_ed25519-donna_test.c.s.log
gcc	x86_64	O3	src/c/ama_aes_bitsliced.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_aes_bitsliced.c.s.log
gcc	x86_64	O3	src/c/ama_aes_gcm.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_aes_gcm.c.s.log
gcc	x86_64	O3	src/c/ama_agent_binding.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_agent_binding.c.s.log
gcc	x86_64	O3	src/c/ama_argon2.c	ok	6	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_argon2.c.s.log
gcc	x86_64	O3	src/c/ama_ascon.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_ascon.c.s.log
gcc	x86_64	O3	src/c/ama_chacha20poly1305.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_chacha20poly1305.c.s.log
gcc	x86_64	O3	src/c/ama_consttime.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_consttime.c.s.log
gcc	x86_64	O3	src/c/ama_core.c	compile_error	n/a	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_core.c.s.log
gcc	x86_64	O3	src/c/ama_cpuid.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_cpuid.c.s.log
gcc	x86_64	O3	src/c/ama_dilithium.c	ok	14	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_dilithium.c.s.log
gcc	x86_64	O3	src/c/ama_ed25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_ed25519.c.s.log
gcc	x86_64	O3	src/c/ama_frost.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_frost.c.s.log
gcc	x86_64	O3	src/c/ama_hkdf.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_hkdf.c.s.log
gcc	x86_64	O3	src/c/ama_hmac_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_hmac_sha256.c.s.log
gcc	x86_64	O3	src/c/ama_hmac_sha384.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_hmac_sha384.c.s.log
gcc	x86_64	O3	src/c/ama_kyber.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_kyber.c.s.log
gcc	x86_64	O3	src/c/ama_lms.c	ok	11	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_lms.c.s.log
gcc	x86_64	O3	src/c/ama_nistp.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_nistp.c.s.log
gcc	x86_64	O3	src/c/ama_pbkdf2.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_pbkdf2.c.s.log
gcc	x86_64	O3	src/c/ama_platform_rand.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_platform_rand.c.s.log
gcc	x86_64	O3	src/c/ama_secp256k1.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_secp256k1.c.s.log
gcc	x86_64	O3	src/c/ama_secure_memory.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_secure_memory.c.s.log
gcc	x86_64	O3	src/c/ama_sha256.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_sha256.c.s.log
gcc	x86_64	O3	src/c/ama_sha256_ni.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_sha256_ni.c.s.log
gcc	x86_64	O3	src/c/ama_sha3.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_sha3.c.s.log
gcc	x86_64	O3	src/c/ama_sha512.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_sha512.c.s.log
gcc	x86_64	O3	src/c/ama_slhdsa.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_slhdsa.c.s.log
gcc	x86_64	O3	src/c/ama_x25519.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ama_x25519.c.s.log
gcc	x86_64	O3	src/c/dispatch/ama_dispatch.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_dispatch_ama_dispatch.c.s.log
gcc	x86_64	O3	src/c/ed25519_donna_shim.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_ed25519_donna_shim.c.s.log
gcc	x86_64	O3	src/c/internal/ama_x25519_fe64_mulx.c	ok	0	docs/audit/logs/phaseE/asm/gcc-x86_64-O3-src_c_internal_ama_x25519_fe64_mulx.c.s.log
